Cu-Ni-Powder_250x_10_SE_png.rf.cd93ec4589ad8f4e412cb1ec0e805016 (MASKRCNN): Detections=11, IoU=0.8906, Prec=0.9697, Rec=0.9156, Morph={'area': {'RMSE': 1014.9240903096689, 'Mean of Predictions': 9470.545454545454, 'Mean of Ground Truth': 9931.454545454546, 'R2': 0.9740315064262605}, 'area_convex': {'RMSE': 1238.482245624568, 'Mean of Predictions': 10780.636363636364, 'Mean of Ground Truth': 11589.818181818182, 'R2': 0.9745260906994643}, 'major_axis_length': {'RMSE': 6.306332165467478, 'Mean of Predictions': 144.49690425204335, 'Mean of Ground Truth': 146.5018830501144, 'R2': 0.9813765803778025}, 'minor_axis_length': {'RMSE': 10.380843956266766, 'Mean of Predictions': 85.77184307811528, 'Mean of Ground Truth': 90.05029355094511, 'R2': 0.938245467991227}, 'eccentricity': {'RMSE': 0.05680581624853185, 'Mean of Predictions': 0.7671335634884724, 'Mean of Ground Truth': 0.7559956912819167, 'R2': 0.8763566870350689}, 'equivalent_diameter': {'RMSE': 6.021907607674051, 'Mean of Predictions': 103.7619805081507, 'Mean of Ground Truth': 106.71994585278013, 'R2': 0.9711272873498741}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.05922078126394404, 'Mean of Predictions': 0.604413924560025, 'Mean of Ground Truth': 0.6006094640572036, 'R2': 0.4291463440423715}, 'feret_diameter_max': {'RMSE': 6.192030915140379, 'Mean of Predictions': 150.5035944286324, 'Mean of Ground Truth': 153.86121536602639, 'R2': 0.9831547758924621}, 'perimeter': {'RMSE': 42.585061307859895, 'Mean of Predictions': 431.4567162730328, 'Mean of Ground Truth': 459.20558809605427, 'R2': 0.9462035473352384}, 'solidity': {'RMSE': 0.02709083317382776, 'Mean of Predictions': 0.8963844456299509, 'Mean of Ground Truth': 0.8775694987150355, 'R2': 0.7988990222748795}}
Cu-Ni-Powder_250x_1_SE_V1_png.rf.675fe4943c221bb28cfe029af5482897 (MASKRCNN): Detections=86, IoU=0.5874, Prec=0.9382, Rec=0.6257, Morph={'area': {'RMSE': 5790.286161944788, 'Mean of Predictions': 3364.4651162790697, 'Mean of Ground Truth': 6279.674418604651, 'R2': -0.02593652329745577}, 'area_convex': {'RMSE': 7734.912094929009, 'Mean of Predictions': 4065.3023255813955, 'Mean of Ground Truth': 7746.720930232558, 'R2': 0.09568487579583473}, 'major_axis_length': {'RMSE': 65.10146754719275, 'Mean of Predictions': 87.07784696360214, 'Mean of Ground Truth': 121.47164941927318, 'R2': -0.09242963089595846}, 'minor_axis_length': {'RMSE': 37.302760663924666, 'Mean of Predictions': 47.31456503099209, 'Mean of Ground Truth': 65.88906004668056, 'R2': -0.3588604336912813}, 'eccentricity': {'RMSE': 0.13354800742564277, 'Mean of Predictions': 0.7901111734482774, 'Mean of Ground Truth': 0.7912052191140302, 'R2': 0.05514857706238685}, 'equivalent_diameter': {'RMSE': 41.7094415730228, 'Mean of Predictions': 58.31532281831279, 'Mean of Ground Truth': 81.78565566476766, 'R2': -0.33141677039805284}, 'euler_number': {'RMSE': 0.30499714066520933, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 0.9534883720930233, 'R2': -0.023809523809523725}, 'extent': {'RMSE': 0.11674701631296344, 'Mean of Predictions': 0.5777961347108382, 'Mean of Ground Truth': 0.5869622940654052, 'R2': -0.08722256540586781}, 'feret_diameter_max': {'RMSE': 66.68287897694479, 'Mean of Predictions': 88.86181188433646, 'Mean of Ground Truth': 124.46274907367588, 'R2': -0.08968036202399476}, 'perimeter': {'RMSE': 208.06235454615566, 'Mean of Predictions': 258.3139483019729, 'Mean of Ground Truth': 360.34284728064955, 'R2': -0.07479210054354235}, 'solidity': {'RMSE': 0.09900476502974952, 'Mean of Predictions': 0.8479648829017591, 'Mean of Ground Truth': 0.8603904019972342, 'R2': -0.1373936407976959}}
Cu-Ni-Powder_250x_6_SE_V1_png.rf.e53ddff8f68997450136adf624221578 (MASKRCNN): Detections=77, IoU=0.5617, Prec=0.9419, Rec=0.5905, Morph={'area': {'RMSE': 6328.83720880735, 'Mean of Predictions': 4139.363636363636, 'Mean of Ground Truth': 7573.025974025974, 'R2': 0.04179967276083263}, 'area_convex': {'RMSE': 8426.489575050904, 'Mean of Predictions': 4981.337662337663, 'Mean of Ground Truth': 9517.896103896104, 'R2': 0.060277558390257835}, 'major_axis_length': {'RMSE': 67.06455687558298, 'Mean of Predictions': 96.95836886877599, 'Mean of Ground Truth': 134.4340192048761, 'R2': 0.10358719383781823}, 'minor_axis_length': {'RMSE': 42.73291888039306, 'Mean of Predictions': 49.78036503122907, 'Mean of Ground Truth': 71.25563522974608, 'R2': -0.24235321621554506}, 'eccentricity': {'RMSE': 0.17057413932037585, 'Mean of Predictions': 0.8158197021615768, 'Mean of Ground Truth': 0.7871473999238895, 'R2': -0.21763832498762237}, 'equivalent_diameter': {'RMSE': 43.96755708206939, 'Mean of Predictions': 63.11463654082631, 'Mean of Ground Truth': 88.84348791187969, 'R2': -0.10521647729400407}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.12204583688893178, 'Mean of Predictions': 0.5657058678753735, 'Mean of Ground Truth': 0.5665496919821795, 'R2': -0.18264319742000956}, 'feret_diameter_max': {'RMSE': 68.6295196664059, 'Mean of Predictions': 99.37761503898471, 'Mean of Ground Truth': 138.2420951339173, 'R2': 0.05613086046937765}, 'perimeter': {'RMSE': 237.35162355155927, 'Mean of Predictions': 284.3628772210181, 'Mean of Ground Truth': 410.3872071691659, 'R2': -0.022011311269235945}, 'solidity': {'RMSE': 0.11823452254189004, 'Mean of Predictions': 0.8398068583281293, 'Mean of Ground Truth': 0.8422777118653118, 'R2': -0.6703504257934798}}
HP743_5S_500x_png.rf.9ff406796462449f85c2039537f32d6f (MASKRCNN): Detections=17, IoU=0.8038, Prec=0.9723, Rec=0.8234, Morph={'area': {'RMSE': 5638.291924291381, 'Mean of Predictions': 11942.941176470587, 'Mean of Ground Truth': 14483.70588235294, 'R2': 0.6472451160909376}, 'area_convex': {'RMSE': 7457.381329536371, 'Mean of Predictions': 12591.235294117647, 'Mean of Ground Truth': 15856.588235294117, 'R2': 0.5670151574957807}, 'major_axis_length': {'RMSE': 24.10799027518231, 'Mean of Predictions': 150.7909513446203, 'Mean of Ground Truth': 158.20847887950035, 'R2': 0.824949356650903}, 'minor_axis_length': {'RMSE': 28.417260739411432, 'Mean of Predictions': 97.62375873503137, 'Mean of Ground Truth': 112.37053939394717, 'R2': 0.6569401441344804}, 'eccentricity': {'RMSE': 0.11851846503231009, 'Mean of Predictions': 0.681129578894654, 'Mean of Ground Truth': 0.6383482476435567, 'R2': 0.5267909113305442}, 'equivalent_diameter': {'RMSE': 22.99132983321002, 'Mean of Predictions': 115.49636150610276, 'Mean of Ground Truth': 127.30077653424068, 'R2': 0.7635675907406075}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.13223455868119677, 'Mean of Predictions': 0.6827489899252484, 'Mean of Ground Truth': 0.6994958251667112, 'R2': -2.2660699802199242}, 'feret_diameter_max': {'RMSE': 27.187833985919564, 'Mean of Predictions': 151.19035157984885, 'Mean of Ground Truth': 163.3699018273738, 'R2': 0.7706747713815847}, 'perimeter': {'RMSE': 185.4212260011601, 'Mean of Predictions': 430.8562470887838, 'Mean of Ground Truth': 509.5123331111822, 'R2': 0.4566637497337913}, 'solidity': {'RMSE': 0.059091939640237255, 'Mean of Predictions': 0.9419480804057292, 'Mean of Ground Truth': 0.933044048190294, 'R2': 0.31263480299664337}}
MW_FeMnAl_500_22-11_png.rf.7095906a9fa6befd1eb267219b11b181 (MASKRCNN): Detections=100, IoU=0.8445, Prec=0.9574, Rec=0.8787, Morph={'area': {'RMSE': 685.0843524705552, 'Mean of Predictions': 4258.86, 'Mean of Ground Truth': 4538.29, 'R2': 0.9665825657891044}, 'area_convex': {'RMSE': 813.0916860969617, 'Mean of Predictions': 4410.8, 'Mean of Ground Truth': 4767.99, 'R2': 0.9573344717876302}, 'major_axis_length': {'RMSE': 15.753557104383546, 'Mean of Predictions': 76.351231680163, 'Mean of Ground Truth': 80.86512428351068, 'R2': 0.7755327172490152}, 'minor_axis_length': {'RMSE': 6.101267855433447, 'Mean of Predictions': 62.4133038843506, 'Mean of Ground Truth': 64.690947367394, 'R2': 0.94623186960425}, 'eccentricity': {'RMSE': 0.1737388989034549, 'Mean of Predictions': 0.4963129437008289, 'Mean of Ground Truth': 0.4881137352430563, 'R2': 0.41546215110425555}, 'equivalent_diameter': {'RMSE': 7.75042118367011, 'Mean of Predictions': 67.85651810973272, 'Mean of Ground Truth': 70.85479661478435, 'R2': 0.9207457418393056}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.077974706708145, 'Mean of Predictions': 0.7422889194527551, 'Mean of Ground Truth': 0.7250819174408449, 'R2': -1.1049371433329385}, 'feret_diameter_max': {'RMSE': 15.722069799060169, 'Mean of Predictions': 78.25947642290086, 'Mean of Ground Truth': 84.79131693482952, 'R2': 0.7873274439885285}, 'perimeter': {'RMSE': 41.29597994273696, 'Mean of Predictions': 237.12326681266734, 'Mean of Ground Truth': 252.41779746265377, 'R2': 0.8405257351755966}, 'solidity': {'RMSE': 0.06914310246253591, 'Mean of Predictions': 0.9532641112968843, 'Mean of Ground Truth': 0.9547887992883972, 'R2': -3.325339121216768}}
OMG_Cu_1250_07_png.rf.ff417e92b36bba2bb91175ce144ff6ab (MASKRCNN): Detections=31, IoU=0.6052, Prec=0.9521, Rec=0.6309, Morph={'area': {'RMSE': 33277.65958106953, 'Mean of Predictions': 16241.870967741936, 'Mean of Ground Truth': 34057.06451612903, 'R2': 0.05004412973830552}, 'area_convex': {'RMSE': 45380.739144380655, 'Mean of Predictions': 18236.09677419355, 'Mean of Ground Truth': 44013.32258064516, 'R2': -0.040856042795431424}, 'major_axis_length': {'RMSE': 182.34018457767345, 'Mean of Predictions': 170.82842115308912, 'Mean of Ground Truth': 286.03285108505725, 'R2': -0.13073209442913147}, 'minor_axis_length': {'RMSE': 83.60721545299012, 'Mean of Predictions': 103.3195651949438, 'Mean of Ground Truth': 148.61102105056162, 'R2': 0.1732964519369845}, 'eccentricity': {'RMSE': 0.1394383455139216, 'Mean of Predictions': 0.7042597052665758, 'Mean of Ground Truth': 0.7659921652597886, 'R2': 0.28848097853437527}, 'equivalent_diameter': {'RMSE': 98.0727466133234, 'Mean of Predictions': 124.825846086225, 'Mean of Ground Truth': 183.6687747914338, 'R2': 0.001071690238878431}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.12281016214809751, 'Mean of Predictions': 0.6651889139711418, 'Mean of Ground Truth': 0.5851521843071525, 'R2': -1.089871476131469}, 'feret_diameter_max': {'RMSE': 181.90117426920932, 'Mean of Predictions': 174.801701087075, 'Mean of Ground Truth': 291.59541504008956, 'R2': -0.14218962676412916}, 'perimeter': {'RMSE': 742.2146767489617, 'Mean of Predictions': 502.3479515874467, 'Mean of Ground Truth': 996.4385636279686, 'R2': -0.3109867714018615}, 'solidity': {'RMSE': 0.11887883187252568, 'Mean of Predictions': 0.900907913110419, 'Mean of Ground Truth': 0.814094566127746, 'R2': -0.959621177391003}}
RHA_00-45_500X07_png.rf.2e24ff0e093484de86e43a21ef7e62cb (MASKRCNN): Detections=13, IoU=0.8637, Prec=0.9655, Rec=0.8900, Morph={'area': {'RMSE': 3643.396207260051, 'Mean of Predictions': 45042.53846153846, 'Mean of Ground Truth': 45700.0, 'R2': 0.98316123525782}, 'area_convex': {'RMSE': 3299.135947486857, 'Mean of Predictions': 46773.153846153844, 'Mean of Ground Truth': 47279.92307692308, 'R2': 0.986765866014467}, 'major_axis_length': {'RMSE': 19.271283504571333, 'Mean of Predictions': 274.11252734379906, 'Mean of Ground Truth': 278.16940097645625, 'R2': 0.9281689540073268}, 'minor_axis_length': {'RMSE': 10.088853192993382, 'Mean of Predictions': 193.27551066659584, 'Mean of Ground Truth': 197.6999907982316, 'R2': 0.9889377725693026}, 'eccentricity': {'RMSE': 0.07639298489031715, 'Mean of Predictions': 0.6717415250271396, 'Mean of Ground Truth': 0.6500560740627583, 'R2': 0.9007043571963311}, 'equivalent_diameter': {'RMSE': 13.642690408323114, 'Mean of Predictions': 220.26860744781268, 'Mean of Ground Truth': 225.04807405516567, 'R2': 0.975316599082899}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.08321034400938894, 'Mean of Predictions': 0.718030829654319, 'Mean of Ground Truth': 0.7337243153758438, 'R2': 0.08799527083091296}, 'feret_diameter_max': {'RMSE': 18.709202380136194, 'Mean of Predictions': 285.9779689118963, 'Mean of Ground Truth': 293.4828861275788, 'R2': 0.94461236736124}, 'perimeter': {'RMSE': 48.505399980829615, 'Mean of Predictions': 817.7082413517812, 'Mean of Ground Truth': 833.7611134688229, 'R2': 0.9665022379770778}, 'solidity': {'RMSE': 0.03083367036342645, 'Mean of Predictions': 0.9508837686459319, 'Mean of Ground Truth': 0.9590510159736824, 'R2': 0.4648206191308576}}
Rec-Cu-Ni-Powder_250x_7_SE_V1_png.rf.4c7c94e7a5f2b5ab0a942ce1b6f7193a (MASKRCNN): Detections=93, IoU=0.6937, Prec=0.9519, Rec=0.7252, Morph={'area': {'RMSE': 5405.313613294285, 'Mean of Predictions': 4522.698924731183, 'Mean of Ground Truth': 6594.5161290322585, 'R2': 0.5167273004224988}, 'area_convex': {'RMSE': 6371.998856725221, 'Mean of Predictions': 5232.666666666667, 'Mean of Ground Truth': 7632.311827956989, 'R2': 0.549240561426398}, 'major_axis_length': {'RMSE': 42.156931379522575, 'Mean of Predictions': 89.40202731115323, 'Mean of Ground Truth': 107.12564304005116, 'R2': 0.5207843423326779}, 'minor_axis_length': {'RMSE': 28.125177481780447, 'Mean of Predictions': 56.53739692038271, 'Mean of Ground Truth': 67.75011922366528, 'R2': 0.4795562001905592}, 'eccentricity': {'RMSE': 0.12220804773417698, 'Mean of Predictions': 0.7200808808805793, 'Mean of Ground Truth': 0.7199250069557289, 'R2': 0.32596763155841235}, 'equivalent_diameter': {'RMSE': 30.49955165461686, 'Mean of Predictions': 66.68976482043071, 'Mean of Ground Truth': 80.75167897409186, 'R2': 0.5040307198151538}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.09410934504764105, 'Mean of Predictions': 0.6288253314822645, 'Mean of Ground Truth': 0.6448261022219774, 'R2': -0.2384847115117006}, 'feret_diameter_max': {'RMSE': 44.50071225066502, 'Mean of Predictions': 92.60206052356865, 'Mean of Ground Truth': 111.28963966286669, 'R2': 0.5119269408318641}, 'perimeter': {'RMSE': 143.04592565831933, 'Mean of Predictions': 280.0553901424396, 'Mean of Ground Truth': 335.8239799980772, 'R2': 0.5773391764300253}, 'solidity': {'RMSE': 0.08453977251068652, 'Mean of Predictions': 0.8809379432191974, 'Mean of Ground Truth': 0.9031821621530292, 'R2': -1.1984404476871582}}
Rec-Cu-Ni-Powder_250x_8_SE_V1_png.rf.cb5407549469443a93d2dc62dd52a6a1 (MASKRCNN): Detections=100, IoU=0.6737, Prec=0.9469, Rec=0.7073, Morph={'area': {'RMSE': 3654.430138886226, 'Mean of Predictions': 4111.65, 'Mean of Ground Truth': 5751.99, 'R2': 0.31475372265396917}, 'area_convex': {'RMSE': 4377.310787458437, 'Mean of Predictions': 4685.47, 'Mean of Ground Truth': 6667.54, 'R2': 0.3344836644321886}, 'major_axis_length': {'RMSE': 39.839048089685264, 'Mean of Predictions': 91.31744235377859, 'Mean of Ground Truth': 107.88199657628887, 'R2': 0.3508006805234153}, 'minor_axis_length': {'RMSE': 27.109545596765, 'Mean of Predictions': 53.39190551817856, 'Mean of Ground Truth': 66.30893114865633, 'R2': -0.08870262356264913}, 'eccentricity': {'RMSE': 0.15416740676034837, 'Mean of Predictions': 0.7443426121838023, 'Mean of Ground Truth': 0.7176617833867485, 'R2': 0.18919929568496496}, 'equivalent_diameter': {'RMSE': 28.448304476136176, 'Mean of Predictions': 65.55097301225256, 'Mean of Ground Truth': 79.84902757370119, 'R2': 0.14611604201633166}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.10337209060772584, 'Mean of Predictions': 0.6248920990242091, 'Mean of Ground Truth': 0.6363018197401571, 'R2': -0.33508252775671465}, 'feret_diameter_max': {'RMSE': 41.008431897657545, 'Mean of Predictions': 93.3006409591774, 'Mean of Ground Truth': 112.06470595096037, 'R2': 0.34509788874445524}, 'perimeter': {'RMSE': 140.27158892049465, 'Mean of Predictions': 268.4865799264592, 'Mean of Ground Truth': 334.4268309713857, 'R2': 0.2032636442036454}, 'solidity': {'RMSE': 0.09526048298339004, 'Mean of Predictions': 0.8844305344438494, 'Mean of Ground Truth': 0.8915709673850912, 'R2': -0.7761353483055486}}
Rec-Cu-Ni-Powder_250x_9_SE_png.rf.2b9d131a9fe115a2fb24f4512af0c9a6 (MASKRCNN): Detections=12, IoU=0.8730, Prec=0.9647, Rec=0.9028, Morph={'area': {'RMSE': 1000.2043124615424, 'Mean of Predictions': 6467.0, 'Mean of Ground Truth': 6950.0, 'R2': 0.9655023072057529}, 'area_convex': {'RMSE': 1241.5658124588751, 'Mean of Predictions': 7205.583333333333, 'Mean of Ground Truth': 8001.916666666667, 'R2': 0.9657333813002738}, 'major_axis_length': {'RMSE': 3.5832744493971163, 'Mean of Predictions': 124.39024172038546, 'Mean of Ground Truth': 122.9802973475459, 'R2': 0.995523143108288}, 'minor_axis_length': {'RMSE': 9.200065704670184, 'Mean of Predictions': 65.12754555254683, 'Mean of Ground Truth': 70.71767826846296, 'R2': 0.8455547478888834}, 'eccentricity': {'RMSE': 0.06103612969850337, 'Mean of Predictions': 0.8023147903034881, 'Mean of Ground Truth': 0.7647385385786993, 'R2': 0.8035028357929829}, 'equivalent_diameter': {'RMSE': 6.2074668781140145, 'Mean of Predictions': 85.6789618236201, 'Mean of Ground Truth': 88.89748335322066, 'R2': 0.959278677076274}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.04876401728173526, 'Mean of Predictions': 0.6376102833843531, 'Mean of Ground Truth': 0.6204528781445812, 'R2': 0.6415803765391828}, 'feret_diameter_max': {'RMSE': 1.7022821489966748, 'Mean of Predictions': 125.2439216735372, 'Mean of Ground Truth': 126.20530375987141, 'R2': 0.9990256245875715}, 'perimeter': {'RMSE': 26.52113324280665, 'Mean of Predictions': 335.9505469394299, 'Mean of Ground Truth': 357.08676024550533, 'R2': 0.9671303375693322}, 'solidity': {'RMSE': 0.03905770372958113, 'Mean of Predictions': 0.9118686956571628, 'Mean of Ground Truth': 0.8807455683231479, 'R2': 0.4259213455298707}}
S01_03_SE1_500X11_png.rf.4b7fddca6f3354a728be814c4f62d5ae (MASKRCNN): Detections=36, IoU=0.7510, Prec=0.9261, Rec=0.7826, Morph={'area': {'RMSE': 8267.683385057482, 'Mean of Predictions': 14660.694444444445, 'Mean of Ground Truth': 17885.916666666668, 'R2': 0.3770141215390712}, 'area_convex': {'RMSE': 8875.747959092423, 'Mean of Predictions': 15174.555555555555, 'Mean of Ground Truth': 18939.555555555555, 'R2': 0.3696333754226545}, 'major_axis_length': {'RMSE': 57.06278145385197, 'Mean of Predictions': 148.99428502471096, 'Mean of Ground Truth': 171.2017469185959, 'R2': 0.15459646222315848}, 'minor_axis_length': {'RMSE': 39.11363772109012, 'Mean of Predictions': 109.68173421123134, 'Mean of Ground Truth': 125.67436848233449, 'R2': 0.26651422706814676}, 'eccentricity': {'RMSE': 0.14059078296580918, 'Mean of Predictions': 0.6164243943075863, 'Mean of Ground Truth': 0.6010365070320204, 'R2': 0.5578190616712735}, 'equivalent_diameter': {'RMSE': 45.64853306323632, 'Mean of Predictions': 124.45413356407828, 'Mean of Ground Truth': 142.57991380210436, 'R2': 0.14739459129250487}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.10385805345652817, 'Mean of Predictions': 0.6986687159369063, 'Mean of Ground Truth': 0.7180000457088341, 'R2': -1.7488366555790602}, 'feret_diameter_max': {'RMSE': 59.899761831898665, 'Mean of Predictions': 152.8175042251648, 'Mean of Ground Truth': 178.00954735572262, 'R2': 0.04310314098175383}, 'perimeter': {'RMSE': 195.54107931488792, 'Mean of Predictions': 447.1905460851045, 'Mean of Ground Truth': 536.7819261078502, 'R2': 0.026998310719327456}, 'solidity': {'RMSE': 0.05909702172240539, 'Mean of Predictions': 0.9486658632061025, 'Mean of Ground Truth': 0.9484611360410499, 'R2': -1.0003455812956124}}
