Cu-Ni-Powder_250x_10_SE_png.rf.cd93ec4589ad8f4e412cb1ec0e805016 (YOLO): Detections=12, IoU=0.8365, Prec=0.9100, Rec=0.9136, Morph={'area': {'RMSE': 3529.87083097007, 'Mean of Predictions': 9876.5, 'Mean of Ground Truth': 10449.583333333334, 'R2': 0.6830624074427221}, 'area_convex': {'RMSE': 4400.059819669123, 'Mean of Predictions': 11507.75, 'Mean of Ground Truth': 12276.166666666666, 'R2': 0.6793354832782541}, 'major_axis_length': {'RMSE': 19.526330870390108, 'Mean of Predictions': 147.46397253610738, 'Mean of Ground Truth': 148.89765185053378, 'R2': 0.8113098493341562}, 'minor_axis_length': {'RMSE': 25.974748874913335, 'Mean of Predictions': 89.4013016045328, 'Mean of Ground Truth': 94.3536427144047, 'R2': 0.6258582859530841}, 'eccentricity': {'RMSE': 0.08495440922869806, 'Mean of Predictions': 0.7634658809132812, 'Mean of Ground Truth': 0.7420374231174637, 'R2': 0.7231243221571927}, 'equivalent_diameter': {'RMSE': 20.960626606812333, 'Mean of Predictions': 106.62567414909972, 'Mean of Ground Truth': 109.7760316524101, 'R2': 0.6496555886636854}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.05515375345486782, 'Mean of Predictions': 0.6296843099707324, 'Mean of Ground Truth': 0.6014858277036509, 'R2': 0.46065802245118603}, 'feret_diameter_max': {'RMSE': 22.91515583424299, 'Mean of Predictions': 153.52825312110994, 'Mean of Ground Truth': 156.4894114605273, 'R2': 0.7571656539015441}, 'perimeter': {'RMSE': 127.97215887166244, 'Mean of Predictions': 457.188702304119, 'Mean of Ground Truth': 481.873571765638, 'R2': 0.5519715460751179}, 'solidity': {'RMSE': 0.028643582505423985, 'Mean of Predictions': 0.8751295130811235, 'Mean of Ground Truth': 0.8723167460942163, 'R2': 0.7751475523813307}}
Cu-Ni-Powder_250x_1_SE_V1_png.rf.675fe4943c221bb28cfe029af5482897 (YOLO): Detections=88, IoU=0.7050, Prec=0.8168, Rec=0.8488, Morph={'area': {'RMSE': 4624.8864433233775, 'Mean of Predictions': 5374.931818181818, 'Mean of Ground Truth': 5639.727272727273, 'R2': 0.48418127880674244}, 'area_convex': {'RMSE': 7013.703556577328, 'Mean of Predictions': 6638.931818181818, 'Mean of Ground Truth': 7117.534090909091, 'R2': 0.4475744102079424}, 'major_axis_length': {'RMSE': 41.9199431776233, 'Mean of Predictions': 107.24837366284828, 'Mean of Ground Truth': 112.78243383207531, 'R2': 0.6442338308889404}, 'minor_axis_length': {'RMSE': 24.217479602721905, 'Mean of Predictions': 59.81544558211294, 'Mean of Ground Truth': 59.52653328191115, 'R2': 0.5340873782081492}, 'eccentricity': {'RMSE': 0.0988875755384094, 'Mean of Predictions': 0.7640910215825737, 'Mean of Ground Truth': 0.7982322458567708, 'R2': 0.5973038667886118}, 'equivalent_diameter': {'RMSE': 23.509355283300064, 'Mean of Predictions': 73.50175306987485, 'Mean of Ground Truth': 74.4052183314905, 'R2': 0.6639340484686561}, 'euler_number': {'RMSE': 0.21320071635561044, 'Mean of Predictions': 0.9886363636363636, 'Mean of Ground Truth': 0.9659090909090909, 'R2': 0.18329466357308566}, 'extent': {'RMSE': 0.10145978096123948, 'Mean of Predictions': 0.6202651376320575, 'Mean of Ground Truth': 0.5773185905952503, 'R2': 0.45394057410432753}, 'feret_diameter_max': {'RMSE': 47.5011789932338, 'Mean of Predictions': 111.48774380216055, 'Mean of Ground Truth': 116.09358282594421, 'R2': 0.5962898334509616}, 'perimeter': {'RMSE': 161.13996213872662, 'Mean of Predictions': 328.30419235366605, 'Mean of Ground Truth': 331.97826951190285, 'R2': 0.5133873476552557}, 'solidity': {'RMSE': 0.07428740933009172, 'Mean of Predictions': 0.8397962281135155, 'Mean of Ground Truth': 0.8503531313026325, 'R2': 0.6850358550873918}}
Cu-Ni-Powder_250x_6_SE_V1_png.rf.e53ddff8f68997450136adf624221578 (YOLO): Detections=81, IoU=0.7061, Prec=0.8292, Rec=0.8295, Morph={'area': {'RMSE': 4815.5556260575295, 'Mean of Predictions': 6741.432098765432, 'Mean of Ground Truth': 7544.111111111111, 'R2': 0.5226111930846997}, 'area_convex': {'RMSE': 7423.554331557104, 'Mean of Predictions': 8716.037037037036, 'Mean of Ground Truth': 9661.839506172839, 'R2': 0.3968218774125466}, 'major_axis_length': {'RMSE': 58.123070447533, 'Mean of Predictions': 119.12052634820475, 'Mean of Ground Truth': 132.7340277163224, 'R2': 0.5067433185073107}, 'minor_axis_length': {'RMSE': 30.180113619536034, 'Mean of Predictions': 67.07297545426324, 'Mean of Ground Truth': 68.3705550917438, 'R2': 0.48362191950047384}, 'eccentricity': {'RMSE': 0.13197960774161208, 'Mean of Predictions': 0.7613296120350223, 'Mean of Ground Truth': 0.7796779572444322, 'R2': 0.4139322904866567}, 'equivalent_diameter': {'RMSE': 28.894236237079767, 'Mean of Predictions': 80.77040027076822, 'Mean of Ground Truth': 85.8513894242714, 'R2': 0.6264532156073479}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 0.9876543209876543, 'Mean of Ground Truth': 0.9876543209876543, 'R2': 1.0}, 'extent': {'RMSE': 0.12688840108729424, 'Mean of Predictions': 0.625155044032879, 'Mean of Ground Truth': 0.5621900080482954, 'R2': 0.05425275056056322}, 'feret_diameter_max': {'RMSE': 54.07233407700625, 'Mean of Predictions': 124.8532883831836, 'Mean of Ground Truth': 136.38275953144785, 'R2': 0.5636239706408361}, 'perimeter': {'RMSE': 205.82612851496106, 'Mean of Predictions': 385.5274760920829, 'Mean of Ground Truth': 401.6554965266652, 'R2': 0.39932334596379815}, 'solidity': {'RMSE': 0.0872079271552193, 'Mean of Predictions': 0.8288962499916861, 'Mean of Ground Truth': 0.8345871577233052, 'R2': 0.5901093968468345}}
HP743_5S_500x_png.rf.9ff406796462449f85c2039537f32d6f (YOLO): Detections=18, IoU=0.8248, Prec=0.9403, Rec=0.8742, Morph={'area': {'RMSE': 7805.629638636178, 'Mean of Predictions': 12716.333333333334, 'Mean of Ground Truth': 15419.611111111111, 'R2': 0.3907465932723372}, 'area_convex': {'RMSE': 10291.535408069854, 'Mean of Predictions': 13513.333333333334, 'Mean of Ground Truth': 17157.5, 'R2': 0.2942466885883689}, 'major_axis_length': {'RMSE': 48.03528976972804, 'Mean of Predictions': 146.96030800239367, 'Mean of Ground Truth': 163.93686004996576, 'R2': 0.3752915575940776}, 'minor_axis_length': {'RMSE': 28.46126220401722, 'Mean of Predictions': 106.94689737959231, 'Mean of Ground Truth': 116.37500879280937, 'R2': 0.6754333643034593}, 'eccentricity': {'RMSE': 0.06937651296393714, 'Mean of Predictions': 0.6291137119964862, 'Mean of Ground Truth': 0.6422381319884543, 'R2': 0.8298770572460263}, 'equivalent_diameter': {'RMSE': 31.64731217431834, 'Mean of Predictions': 120.8121692879563, 'Mean of Ground Truth': 131.32441673024078, 'R2': 0.5803708953593845}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.06313598013118292, 'Mean of Predictions': 0.730570333774424, 'Mean of Ground Truth': 0.6932406099890509, 'R2': 0.30331086801508367}, 'feret_diameter_max': {'RMSE': 46.13675746624176, 'Mean of Predictions': 154.35862467455433, 'Mean of Ground Truth': 169.21385061695946, 'R2': 0.41276488045902804}, 'perimeter': {'RMSE': 245.62262131778692, 'Mean of Predictions': 455.6982922427734, 'Mean of Ground Truth': 542.3917745604905, 'R2': 0.2279200540156806}, 'solidity': {'RMSE': 0.043910548133311224, 'Mean of Predictions': 0.9343389426830622, 'Mean of Ground Truth': 0.9255276616077995, 'R2': 0.6651534859190384}}
MW_FeMnAl_500_22-11_png.rf.7095906a9fa6befd1eb267219b11b181 (YOLO): Detections=204, IoU=0.6826, Prec=0.7966, Rec=0.8369, Morph={'area': {'RMSE': 2786.758447041448, 'Mean of Predictions': 3001.0343137254904, 'Mean of Ground Truth': 3528.0882352941176, 'R2': 0.45946105941909354}, 'area_convex': {'RMSE': 2987.612946425132, 'Mean of Predictions': 3209.7450980392155, 'Mean of Ground Truth': 3735.774509803922, 'R2': 0.4428564353581339}, 'major_axis_length': {'RMSE': 28.67740167922373, 'Mean of Predictions': 64.44505120531738, 'Mean of Ground Truth': 69.18218656711149, 'R2': 0.40424948759866053}, 'minor_axis_length': {'RMSE': 21.57728236920465, 'Mean of Predictions': 50.17106602728346, 'Mean of Ground Truth': 53.644564429113665, 'R2': 0.44175239506048747}, 'eccentricity': {'RMSE': 0.1715199292039793, 'Mean of Predictions': 0.5643740317387181, 'Mean of Ground Truth': 0.5334319895464514, 'R2': 0.37828163160043426}, 'equivalent_diameter': {'RMSE': 23.298175607238072, 'Mean of Predictions': 55.34847983287094, 'Mean of Ground Truth': 59.44013424464998, 'R2': 0.4339719579624144}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.12187725290902428, 'Mean of Predictions': 0.7904048302098179, 'Mean of Ground Truth': 0.7109716642152071, 'R2': -3.8480226803699313}, 'feret_diameter_max': {'RMSE': 29.984391524659966, 'Mean of Predictions': 69.1593323777365, 'Mean of Ground Truth': 72.60875666254994, 'R2': 0.38657876480820186}, 'perimeter': {'RMSE': 92.39852662933188, 'Mean of Predictions': 204.04638500376132, 'Mean of Ground Truth': 214.337693860925, 'R2': 0.3715714044083678}, 'solidity': {'RMSE': 0.04797288432655657, 'Mean of Predictions': 0.9311691155185849, 'Mean of Ground Truth': 0.9467384382789218, 'R2': -1.252702101453878}}
OMG_Cu_1250_07_png.rf.ff417e92b36bba2bb91175ce144ff6ab (YOLO): Detections=26, IoU=0.7185, Prec=0.9198, Rec=0.7781, Morph={'area': {'RMSE': 26666.5596869649, 'Mean of Predictions': 21001.423076923078, 'Mean of Ground Truth': 30986.115384615383, 'R2': 0.31646374000805866}, 'area_convex': {'RMSE': 36818.722898087515, 'Mean of Predictions': 25414.076923076922, 'Mean of Ground Truth': 39518.61538461538, 'R2': 0.22809160212103297}, 'major_axis_length': {'RMSE': 157.76062644378504, 'Mean of Predictions': 194.92905161964126, 'Mean of Ground Truth': 262.2527745871908, 'R2': 0.10805606281054081}, 'minor_axis_length': {'RMSE': 67.72466916515069, 'Mean of Predictions': 118.87594923729004, 'Mean of Ground Truth': 142.96275818016798, 'R2': 0.437567193662591}, 'eccentricity': {'RMSE': 0.0877384917638864, 'Mean of Predictions': 0.7312097263426875, 'Mean of Ground Truth': 0.7447668786621449, 'R2': 0.7260145192201795}, 'equivalent_diameter': {'RMSE': 78.80465227844073, 'Mean of Predictions': 141.01181382554884, 'Mean of Ground Truth': 173.560871436925, 'R2': 0.33434172713634114}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.0987879204883051, 'Mean of Predictions': 0.6600101724785051, 'Mean of Ground Truth': 0.600323500012554, 'R2': -0.49987328489736726}, 'feret_diameter_max': {'RMSE': 152.84824627454952, 'Mean of Predictions': 205.1958670953875, 'Mean of Ground Truth': 267.7202498517015, 'R2': 0.13296217587158332}, 'perimeter': {'RMSE': 592.9071626357709, 'Mean of Predictions': 644.2347704944015, 'Mean of Ground Truth': 899.0877658709546, 'R2': 0.0680987491857018}, 'solidity': {'RMSE': 0.08725471860754123, 'Mean of Predictions': 0.865081532441802, 'Mean of Ground Truth': 0.8271493430610413, 'R2': -0.0671798026029351}}
RHA_00-45_500X07_png.rf.2e24ff0e093484de86e43a21ef7e62cb (YOLO): Detections=15, IoU=0.9102, Prec=0.9672, Rec=0.9399, Morph={'area': {'RMSE': 1445.5199295293949, 'Mean of Predictions': 40209.86666666667, 'Mean of Ground Truth': 40766.53333333333, 'R2': 0.9975166677460738}, 'area_convex': {'RMSE': 1575.6932442579046, 'Mean of Predictions': 42269.4, 'Mean of Ground Truth': 42438.46666666667, 'R2': 0.9971303843927921}, 'major_axis_length': {'RMSE': 7.363304948660989, 'Mean of Predictions': 263.0092603177451, 'Mean of Ground Truth': 264.2228762832175, 'R2': 0.9906847825656475}, 'minor_axis_length': {'RMSE': 12.005274153060236, 'Mean of Predictions': 179.41096809986232, 'Mean of Ground Truth': 182.5991144059755, 'R2': 0.9847984784035299}, 'eccentricity': {'RMSE': 0.06208180476811316, 'Mean of Predictions': 0.6855613148572706, 'Mean of Ground Truth': 0.676021989643239, 'R2': 0.9316181383689166}, 'equivalent_diameter': {'RMSE': 6.389046856275547, 'Mean of Predictions': 206.98125765776288, 'Mean of Ground Truth': 209.07287960131313, 'R2': 0.9950183726309492}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.09083257154022027, 'Mean of Predictions': 0.7210900575400925, 'Mean of Ground Truth': 0.695969568771813, 'R2': 0.482367046394786}, 'feret_diameter_max': {'RMSE': 9.662636179061645, 'Mean of Predictions': 278.36963348984165, 'Mean of Ground Truth': 278.70557244105447, 'R2': 0.9865203299196952}, 'perimeter': {'RMSE': 44.01415817901329, 'Mean of Predictions': 796.6799996598812, 'Mean of Ground Truth': 787.3139197558882, 'R2': 0.9741384622051871}, 'solidity': {'RMSE': 0.0325585914308805, 'Mean of Predictions': 0.9371295518317042, 'Mean of Ground Truth': 0.9375207846279816, 'R2': 0.7968482560158237}}
Rec-Cu-Ni-Powder_250x_7_SE_V1_png.rf.4c7c94e7a5f2b5ab0a942ce1b6f7193a (YOLO): Detections=117, IoU=0.7375, Prec=0.8463, Rec=0.8646, Morph={'area': {'RMSE': 3899.1222549407653, 'Mean of Predictions': 5123.444444444444, 'Mean of Ground Truth': 5648.538461538462, 'R2': 0.6716914178083787}, 'area_convex': {'RMSE': 5095.65845203827, 'Mean of Predictions': 6032.008547008547, 'Mean of Ground Truth': 6551.205128205128, 'R2': 0.6313350111456547}, 'major_axis_length': {'RMSE': 33.51752790065968, 'Mean of Predictions': 95.69405584029482, 'Mean of Ground Truth': 98.81792560127069, 'R2': 0.6564643204127323}, 'minor_axis_length': {'RMSE': 20.98448179980992, 'Mean of Predictions': 60.61204333145958, 'Mean of Ground Truth': 62.374771122635316, 'R2': 0.6801665244734254}, 'eccentricity': {'RMSE': 0.11187513349967565, 'Mean of Predictions': 0.7208162950818136, 'Mean of Ground Truth': 0.722859580700217, 'R2': 0.4741797385462845}, 'equivalent_diameter': {'RMSE': 21.788530439694682, 'Mean of Predictions': 71.75852199055272, 'Mean of Ground Truth': 74.31465802349304, 'R2': 0.7156009029520758}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.09760712821657196, 'Mean of Predictions': 0.6929824534460237, 'Mean of Ground Truth': 0.6539728857722358, 'R2': -0.2424036080436911}, 'feret_diameter_max': {'RMSE': 34.83140039523891, 'Mean of Predictions': 101.00964101022448, 'Mean of Ground Truth': 102.79452384230005, 'R2': 0.6623589307514506}, 'perimeter': {'RMSE': 128.2123990098975, 'Mean of Predictions': 305.95448613377033, 'Mean of Ground Truth': 307.40744669031835, 'R2': 0.6121448628477215}, 'solidity': {'RMSE': 0.06281557658563366, 'Mean of Predictions': 0.8858272194028687, 'Mean of Ground Truth': 0.9067780139048793, 'R2': -0.24085946492412313}}
Rec-Cu-Ni-Powder_250x_8_SE_V1_png.rf.cb5407549469443a93d2dc62dd52a6a1 (YOLO): Detections=110, IoU=0.7281, Prec=0.8554, Rec=0.8411, Morph={'area': {'RMSE': 3487.2096073299845, 'Mean of Predictions': 5828.745454545455, 'Mean of Ground Truth': 5758.336363636364, 'R2': 0.3305599015575519}, 'area_convex': {'RMSE': 5953.595168238493, 'Mean of Predictions': 7103.227272727273, 'Mean of Ground Truth': 6731.2, 'R2': -0.3300588595653213}, 'major_axis_length': {'RMSE': 34.166228545132725, 'Mean of Predictions': 105.89336179238926, 'Mean of Ground Truth': 108.93424067423955, 'R2': 0.5093002527977032}, 'minor_axis_length': {'RMSE': 23.159951578469304, 'Mean of Predictions': 65.26420523117253, 'Mean of Ground Truth': 66.19232257034741, 'R2': 0.2353085582026211}, 'eccentricity': {'RMSE': 0.10953157588384342, 'Mean of Predictions': 0.7223968817702956, 'Mean of Ground Truth': 0.7312441204149349, 'R2': 0.549740581151577}, 'equivalent_diameter': {'RMSE': 19.97898275198789, 'Mean of Predictions': 77.73199614789559, 'Mean of Ground Truth': 79.80136174681411, 'R2': 0.5857122120344743}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.1084901169882003, 'Mean of Predictions': 0.6780478834724915, 'Mean of Ground Truth': 0.6291131051907946, 'R2': -0.34555115243754364}, 'feret_diameter_max': {'RMSE': 33.09293371345916, 'Mean of Predictions': 110.91622473734017, 'Mean of Ground Truth': 113.30449900531828, 'R2': 0.5688631637974071}, 'perimeter': {'RMSE': 150.39317734840796, 'Mean of Predictions': 337.2557718714177, 'Mean of Ground Truth': 339.2420796877738, 'R2': 0.10121273187240676}, 'solidity': {'RMSE': 0.07233039091648157, 'Mean of Predictions': 0.8768180420209047, 'Mean of Ground Truth': 0.8838547607502698, 'R2': 0.10716645403064473}}
Rec-Cu-Ni-Powder_250x_9_SE_png.rf.2b9d131a9fe115a2fb24f4512af0c9a6 (YOLO): Detections=14, IoU=0.7729, Prec=0.8625, Rec=0.8891, Morph={'area': {'RMSE': 2591.873811963626, 'Mean of Predictions': 6280.642857142857, 'Mean of Ground Truth': 6720.928571428572, 'R2': 0.7684056782329991}, 'area_convex': {'RMSE': 2976.2320978042017, 'Mean of Predictions': 7264.785714285715, 'Mean of Ground Truth': 7739.714285714285, 'R2': 0.799105431972058}, 'major_axis_length': {'RMSE': 38.317181746199424, 'Mean of Predictions': 115.36293000844057, 'Mean of Ground Truth': 120.25695234093082, 'R2': 0.5906284089610081}, 'minor_axis_length': {'RMSE': 13.437690986587537, 'Mean of Predictions': 65.19382023072129, 'Mean of Ground Truth': 67.09538592949646, 'R2': 0.7421013735462669}, 'eccentricity': {'RMSE': 0.08721712917956354, 'Mean of Predictions': 0.7365370262526935, 'Mean of Ground Truth': 0.7671684654584462, 'R2': 0.5941966079806804}, 'equivalent_diameter': {'RMSE': 21.058175256144533, 'Mean of Predictions': 82.31305558536941, 'Mean of Ground Truth': 85.5030438632609, 'R2': 0.6442697598453528}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 1.0, 'Mean of Ground Truth': 1.0, 'R2': 1.0}, 'extent': {'RMSE': 0.10096860599452656, 'Mean of Predictions': 0.6685525943890201, 'Mean of Ground Truth': 0.6249063445530408, 'R2': -0.7550726096528686}, 'feret_diameter_max': {'RMSE': 36.69412082391592, 'Mean of Predictions': 119.69302607044688, 'Mean of Ground Truth': 123.19210035685536, 'R2': 0.6361968704584828}, 'perimeter': {'RMSE': 97.11144464796544, 'Mean of Predictions': 336.1138062892901, 'Mean of Ground Truth': 345.74144743451535, 'R2': 0.6448550328902778}, 'solidity': {'RMSE': 0.037093952656360535, 'Mean of Predictions': 0.8839882913803329, 'Mean of Ground Truth': 0.8826393866218265, 'R2': 0.4289437759215351}}
S01_03_SE1_500X11_png.rf.4b7fddca6f3354a728be814c4f62d5ae (YOLO): Detections=38, IoU=0.7611, Prec=0.8592, Rec=0.8159, Morph={'area': {'RMSE': 6079.14258150899, 'Mean of Predictions': 14846.71052631579, 'Mean of Ground Truth': 16416.07894736842, 'R2': 0.6553069537798131}, 'area_convex': {'RMSE': 6700.923583239929, 'Mean of Predictions': 15689.5, 'Mean of Ground Truth': 17450.263157894737, 'R2': 0.6279157923528624}, 'major_axis_length': {'RMSE': 46.76315479268278, 'Mean of Predictions': 146.1424952349476, 'Mean of Ground Truth': 161.16095334740922, 'R2': 0.4433108506334329}, 'minor_axis_length': {'RMSE': 35.12327881121406, 'Mean of Predictions': 109.8526022170013, 'Mean of Ground Truth': 119.4626017498014, 'R2': 0.4772622180447036}, 'eccentricity': {'RMSE': 0.11652102673977162, 'Mean of Predictions': 0.5730577349921218, 'Mean of Ground Truth': 0.5875554475349202, 'R2': 0.7330823521776663}, 'equivalent_diameter': {'RMSE': 38.855368578969696, 'Mean of Predictions': 123.38946071858493, 'Mean of Ground Truth': 134.82885990503618, 'R2': 0.44551524989010916}, 'euler_number': {'RMSE': 0.0, 'Mean of Predictions': 0.9736842105263158, 'Mean of Ground Truth': 0.9736842105263158, 'R2': 1.0}, 'extent': {'RMSE': 0.08490151499944505, 'Mean of Predictions': 0.7256798727800385, 'Mean of Ground Truth': 0.6902416755613241, 'R2': 0.5872031738674741}, 'feret_diameter_max': {'RMSE': 50.31975492519861, 'Mean of Predictions': 153.60554584613882, 'Mean of Ground Truth': 168.49344826210876, 'R2': 0.35585809975005467}, 'perimeter': {'RMSE': 162.58184159053573, 'Mean of Predictions': 461.8984371784446, 'Mean of Ground Truth': 506.8127474899712, 'R2': 0.34325264771244435}, 'solidity': {'RMSE': 0.039852988535147085, 'Mean of Predictions': 0.9165502679249391, 'Mean of Ground Truth': 0.9186983006447609, 'R2': 0.9364258921560752}}
