                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78896,                 1.9479,                 3.4254,                 1.1042,                0.04354,                0.20206,                0.05141,                 0.0327,                0.05091,                0.23629,                0.05947,                0.03682,                0.62549,                 1.3678,                    inf,                 1.0011,                  8e-05,                  8e-05,                  8e-05
                      2,                0.72917,                 1.6783,                  2.572,                 1.0698,                0.82091,                0.79512,                0.78219,                0.63294,                 0.8243,                0.79841,                0.77069,                 0.5545,                0.58448,                 1.3266,                    inf,                0.93674,             0.00017644,             0.00017644,             0.00017644
                      3,                0.61869,                  1.019,                0.73533,                0.94389,                0.83387,                0.84716,                0.80676,                0.64564,                0.82141,                0.83451,                0.77348,                0.51787,                0.57127,                 1.3665,                    inf,                0.94237,             0.00026891,             0.00026891,             0.00026891
                      4,                0.58669,                0.93043,                0.62356,                0.93487,                0.42435,                0.82185,                0.39384,                 0.3074,                0.42048,                0.81435,                0.38488,                0.27031,                  0.625,                 1.5681,                    inf,                 1.0062,             0.00035743,             0.00035743,             0.00035743
                      5,                0.55262,                0.95409,                0.57828,                0.93145,                0.29574,                0.84669,                0.28738,                0.23335,                0.30564,                0.71589,                0.28135,                0.21104,                0.57255,                 169.56,                    inf,                 1.3513,             0.00044198,             0.00044198,             0.00044198
                      6,                0.53383,                0.90885,                0.55007,                0.90451,                0.83639,                0.76934,                0.78148,                0.62786,                0.83129,                0.76465,                0.75719,                0.52932,                    nan,                 35.747,                    nan,                    nan,             0.00052258,             0.00052258,             0.00052258
                      7,                0.53839,                0.85531,                0.58618,                0.92171,                0.30978,                0.38209,                0.17642,                0.13646,                0.30129,                0.37084,                0.16577,                 0.1138,                    nan,                    nan,                    nan,                    nan,             0.00059922,             0.00059922,             0.00059922
                      8,                 0.5621,                 0.9079,                0.56062,                0.95189,                0.35717,                0.59541,                0.27395,                0.20987,                0.35196,                0.58556,                0.26673,                0.17496,                    nan,                    nan,                    nan,                    nan,             0.00067189,             0.00067189,             0.00067189
                      9,                0.53266,                0.87914,                0.55557,                0.92612,                 0.0672,                0.20159,                0.07168,                0.05484,                0.06142,                0.18472,                0.06341,                0.04201,                    nan,                    nan,                    nan,                    nan,             0.00074061,             0.00074061,             0.00074061
                     10,                0.58155,                0.84891,                0.56933,                0.92735,                 0.0297,                0.13783,                 0.0169,                0.01096,                0.02152,                0.09986,                0.01183,                0.00764,                    nan,                    nan,                    nan,                    nan,             0.00080536,             0.00080536,             0.00080536
                     11,                0.55169,                0.81824,                0.60782,                0.90659,                0.03634,                0.16784,                0.02115,                0.01486,                0.02994,                 0.1383,                0.01703,                0.01077,                    nan,                    nan,                    nan,                    nan,             0.00086616,             0.00086616,             0.00086616
                     12,                0.56628,                0.84842,                0.55157,                0.92659,                0.06646,                0.30849,                 0.0436,                0.02985,                0.06355,                0.29208,                0.04137,                0.02488,                    nan,                    nan,                    nan,                    nan,               0.000923,               0.000923,               0.000923
                     13,                0.54321,                0.89674,                0.51878,                0.90251,                0.11378,                0.48664,                0.08469,                0.06462,                0.10832,                0.45945,                0.07913,                 0.0528,                    nan,                    nan,                    nan,                    nan,             0.00097587,             0.00097587,             0.00097587
                     14,                0.50482,                0.86563,                0.49657,                0.89437,                0.11787,                 0.5429,                0.09544,                0.07629,                0.11173,                 0.5143,                0.08909,                0.05417,                    nan,                    nan,                    nan,                    nan,              0.0010248,              0.0010248,              0.0010248
                     15,                0.54696,                0.91519,                0.49555,                0.90822,                0.13646,                0.56705,                0.11078,                0.08581,                0.13277,                0.53399,                0.10519,                0.07698,                0.91998,                    nan,                    inf,                 3.6529,              0.0010697,              0.0010697,              0.0010697
                     16,                0.57325,                 0.8219,                0.51597,                0.93123,                0.14352,                  0.594,                0.11758,                0.09277,                0.13373,                0.55274,                0.10723,                0.07409,                0.71331,                 124.01,                    inf,                 1.5831,              0.0011107,              0.0011107,              0.0011107
                     17,                0.55226,                0.85226,                0.49445,                0.89965,                 0.5428,                0.78387,                 0.5112,                0.39324,                0.51094,                0.73418,                0.45717,                0.30443,                0.62555,                    nan,                    inf,                 1.0361,              0.0011478,              0.0011478,              0.0011478
                     18,                0.53999,                0.86729,                0.45647,                0.91038,                0.35089,                0.80403,                0.32604,                0.25529,                0.33932,                0.75822,                0.30369,                0.20022,                0.58587,                 3.0948,                    inf,                 1.0079,              0.0011809,              0.0011809,              0.0011809
